term,linguistic_group
ផ្តល់ការកំណត់,Auxiliary Verbs / Aspect Markers + Content word
អ៊ីចឹង,Particles & Discourse Markers
សូមរង់ចាំ  ,Politeness & Honorifics
ទាំងអស់គ្នា  ,Pronouns
ផ្តល់នូវសំណើ,Auxiliary Verbs / Aspect Markers + Content word
ពេលណានោះហើយ,Numbers & Time Expressions
ប្រែជាអ្វី,Prepositions / Relational Words
ធ្លាក់ចុះ  ,Auxiliary Verbs / Aspect Markers
ផ្តល់ទស្សនៈ,Auxiliary Verbs / Aspect Markers + Content word
ទទួលយក  ,Auxiliary Verbs / Aspect Markers
មិនទាន់ឃើញ  ,Question & Negation Words
យ៉ាងខ្លាំង,Determiners & Quantifiers
នឹងបន្ដិច,Auxiliary Verbs / Aspect Markers
ឆ្លៀតធ្វើឲ្យ  ,Content word (verb: to do)
ទល់នឹង  ,Prepositions / Relational Words
នេះត្រូវជា,Prepositions / Relational Words
ឆ្លៀតនិយាយ  ,Content word (verb: to speak)
មិនទាន់ច្បាស់  ,Question & Negation Words
ល្អបំផុត,Determiners & Quantifiers
ក្បែរ,Prepositions / Relational Words
ឆ្លៀតទៅ  ,Prepositions / Relational Words
ផ្ដល់ឱកាស,Auxiliary Verbs / Aspect Markers + Content word
ប្រែទៅជាអ្វី,Prepositions / Relational Words
ប្រគល់ឲ្យ  ,Auxiliary Verbs / Aspect Markers
ផ្តល់ចំលើយគ្នា,Auxiliary Verbs / Aspect Markers + Content word
សូមប្រាប់  ,Politeness & Honorifics
ភ្លេចមិនបាន  ,Question & Negation Words
ផ្តល់ការប្រាប់,Auxiliary Verbs / Aspect Markers + Content word
មិនទាន់ត្រូវ,Question & Negation Words
ហ្នឹង,Conjunctions
ព្រោះថា,Conjunctions
តែ,Conjunctions
ឆ្លៀតឲ្យកើត  ,Content word (verb: to happend)
មិនទាន់បាន,Question & Negation Words
ផ្តល់កំហិត,Auxiliary Verbs / Aspect Markers + Content word
នៅមុខគេ,Prepositions / Relational Words
ភ្លេចហើយឯង,Particles & Discourse Markers
គួរសម,Particles & Discourse Markers
ការជ្រៀតជ្រែក,Function Nouns
បន្ទាប់ពីនេះ  ,Numbers & Time Expressions
ឆ្លៀតអាន  ,Function Nouns
ចំនួនបន្ថែម  ,Determiners & Quantifiers
មែនទេ,Question & Negation Words
ទៅលើ,Prepositions / Relational Words
ការបើកចំហ,Function Nouns
មិនងាយស្រួល  ,Question & Negation Words
ឥតឈប់ឈរ,Question & Negation Words
ផ្លាស់ប្ដូរខ្លួន,Auxiliary Verbs / Aspect Markers + Content word
ឆ្លៀតចំណេញ  ,Function Nouns
ទុកចិត្ត,Auxiliary Verbs / Aspect Markers
ឆ្លៀតកន្លែង,Function Nouns
បើតម្រូវ,Conjunctions
ព្រមទាំង,Conjunctions
នឹងតែ,Auxiliary Verbs / Aspect Markers
ផ្តល់អត្ថន័យច្បាស់,Auxiliary Verbs / Aspect Markers + Content word
ផ្លាស់ប្ដូរចិត្ត,Content word (verb: to change)
នេះ,Determiners & Quantifiers
ចំណែក,Function Nouns
ផ្ទាល់,Determiners & Quantifiers
ផ្ដើម,Content word (verb: to start)
មិនងាយ  ,Question & Negation Words
ទោះបី,Conjunctions
លោក,Politeness & Honorifics
ផ្តល់អំណោយ,Auxiliary Verbs / Aspect Markers + Content word
ចំពោះបញ្ហា  ,Prepositions / Relational Words
ចុះ,Particles & Discourse Markers
ចូល,Prepositions / Relational Words
ឆ្លៀតសិក្សា  ,Content word (verb: to learn)
កាលនោះ,Numbers & Time Expressions
បើមិន,Conjunctions
គ្មានកន្លែង,Question & Negation Words
ផ្លាស់ប្ដូរទីតាំង,Content word (verb: to change place)
ទុកដាក់,Content word (verb: to keep)
មិនមាន,Question & Negation Words
ឆ្លៀត  ,Content word (verb: to take the opportunity)
ល្អណាស់,Particles & Discourse Markers
បង្វែរឆ្ពោះ  ,Content word (verb: verb compound)
ឆ្លៀតចេញចូល  ,Content word (verb: verb compound)
ឃើញលើស,Content word (verb: verb compound)
ធ្វើដំណើរ  ,Content word (verb: to travel)
ដឹងហើយឯង,Particles & Discourse Markers
មិនចាំបាច់,Question & Negation Words
ជានិច្ច,Particles & Discourse Markers
មិនទាន់ល្អ  ,Question & Negation Words
ប្រាំពីរ,Numbers & Time Expressions
ឆ្លៀតស្ទង់  ,Content word (verb: to take advantage of)
សំរាប់,Prepositions / Relational Words
មិនដឹង  ,Question & Negation Words
មែនទែន,Particles & Discourse Markers
ប៉ុន្មានដង,Numbers & Time Expressions
មិនឃើញខុសគ្នា,Question & Negation Words
នោះជា,Determiners & Quantifiers
ពេលណាមួយក៏បាន,Numbers & Time Expressions
ផ្តល់ការលើកទឹកចិត្ត,Auxiliary Verbs / Aspect Markers + Content word
មិនត្រូវនិយាយ  ,Question & Negation Words
មិនមើលឃើញ  ,Question & Negation Words
យ៉ាងណាមិញ,Particles & Discourse Markers
គ្រប់,Determiners & Quantifiers
ឆ្លៀតសម្លៀកបំពាក់  ,Function Nouns
ផ្តល់អនុសាសន៍,Auxiliary Verbs / Aspect Markers+ Content word
គាត់,Pronouns
ដើម្បីឲ្យ,Conjunctions
នឹកស្មាន  ,Auxiliary Verbs / Aspect Markers
ផ្តល់ការបម្រុងទុក,Auxiliary Verbs / Aspect Markers + Content word
ឆ្លៀតមិនបាន  ,Content word (verb: verb phrase)
អ្វី,Function Nouns
កាលពីមុន,Numbers & Time Expressions
ដាំ,Content word (verb: to plan)
ផ្តល់ជំនាញសុខាភិបាល,Auxiliary Verbs / Aspect Markers + Content word
ទៅលេង,Content word (verb: to visit)
ពេល,Numbers & Time Expressions
ចំណាយ  ,Content word (verb:to spend)
កន្លែងណាមួយ,Determiners & Quantifiers
ផ្ដល់យោបល់,Auxiliary Verbs / Aspect Markers + Content word
ឆ្លៀតជាមួយនឹង  ,Prepositions / Relational Words
ផ្តល់ពណ៌,Auxiliary Verbs / Aspect Markers + Content word
អត់,Question & Negation Words
ព្រោះថាអ្នក,Conjunctions
ផ្ទុយពី  ,Prepositions / Relational Words
ម្នាក់ឯង,Determiners & Quantifiers
មិនមាន  ,Question & Negation Words
ពេលវេលាខ្លះ,Numbers & Time Expressions
ផ្តល់ការគាំទ្រ,Auxiliary Verbs / Aspect Markers + Content word
ផ្ទុយពី,Prepositions / Relational Words
ដំណឹង,Function Nouns
សូមព្យាបាល  ,Politeness & Honorifics
របស់គាត់,Pronouns
កម្រិត,Function Nouns
ប្រែ,Auxiliary Verbs / Aspect Markers
ហើយត្រូវ,Conjunctions
ផ្ដោតអារម្មណ៍  ,Content word (verb:to pay attention)
ទៅបើក,Auxiliary Verbs / Aspect Markers
ឆ្លៀតត្រូវ  ,Auxiliary Verbs / Aspect Markers
ណាស់ណា,Particles & Discourse Markers
ឆ្លៀតជួប  ,Content word (verb:to meet)
ទោះបីយ៉ាងណា,Conjunctions
ទៅវិញ  ,Particles & Discourse Markers
ដូចនេះហើយ,Particles & Discourse Markers
ដឹង,Content word (verb:to know)
ប្រាប់ខ្លួនឯង,Pronouns   (Verb + Pronoun)
ទាំងអស់,Determiners & Quantifiers
ឲ្យ,Content word (verb:to give)
ទំនួលខុសត្រូវ  ,Content word (verb + noun)
ក៏,Particles & Discourse Markers
ក៏,Particles & Discourse Markers
ហើយ,Particles & Discourse Markers
ពេលដែលឆាប់,Numbers & Time Expressions
មិនបាច់បន្ថែម,Question & Negation Words + Verb
ដូចបែបនេះ,Prepositions / Relational Words
នេះហើយ,Conjunctions
ហាក់ដូចជា  ,Auxiliary Verbs/Aspect Markers
ប្រាកដមែន  ,Adjective + Particles & Discourse Markers
បើតែប៉ុណ្ណោះ,Conjunctions
ដែលនឹង,Conjunctions
ផ្ទុយនឹង,Conjunctions
ដឹងពី,Prepositions / Relational Words
រួមទាំង,Particles & Discourse Markers
ទំនងជា  ,Verb + Auxiliary Verbs/Aspect Markers
ដូច្នេះ,Conjunctions
សូម  ,Politeness & Honorifics
ច្រើន,Determiners & Quantifiers
មិនបាន,Question & Negation Words
សូមឲ្យ  ,Politeness & Honorifics + Verb
មិនអើពើ  ,Question & Negation Words
ជាមួយនឹង,Prepositions / Relational Words
នឹងកើតឡើង  ,Auxiliary Verbs/Aspect Markers
បាន,Auxiliary Verbs/Aspect Markers
ឃើញតែ,Particles & Discourse Markers
នេះតែប៉ុណ្ណោះ,Particles & Discourse Markers
ប្រហែលតែ,Auxiliary Verbs / Aspect Markers
តើអ្វី,Question & Negation Words
មិន,Question & Negation Words
នូវ,Particles & Discourse Markers
ហើយនឹង,Auxiliary Verbs / Aspect Markers
ប៉ុន្នឹងក៏បាន,Particles & Discourse Markers
ហាក់មាន,Auxiliary Verbs / Aspect Markers
ដូចរបៀប,Prepositions / Relational Words + Noun
មួយ,Numbers & Time Expressions
ពេលដែលត្រូវ,Numbers & Time Expressions 
ហាក់បាក់  ,Auxiliary Verbs / Aspect Markers
យើង,Pronouns
មិន,Question & Negation Words
ត្រឹមនោះ,Determiners & Quantifiers
តែប៉ុណ្ណោះ  ,Particles & Discourse Markers
នរណា,Pronouns
ទេ,Question & Negation Words
ពេលណាមិញ,Numbers & Time Expressions
តើបែបនេះ,Question & Negation Words
ត្រូវតែ,Auxiliary Verbs / Aspect Markers
មិន ,Question & Negation Words
បើមាន,Conjunctions
ណាស់  ,Particles & Discourse Markers 
មិនសំខាន់,Question & Negation Words + Adjective
មិនជឿ,Question & Negation Words + Verb
ចាប់តាំងពី,Numbers & Time Expressions
នោះ,Determiners & Quantifiers
ប៉ុណ្ណឹងហើយ,Particles & Discourse Markers
ប្រាំបួន,Numbers & Time Expressions
ពេញមួយថ្ងៃ,Numbers & Time Expressions
ពីព្រោះ,Conjunctions
ប្រកបដោយ,Particles & Discourse Markers
ម្យ៉ាងទៀត,Conjunctions
ធ្វើឱ្យ  ,Particles & Discourse Markers
ហាក់មាន  ,Auxiliary Verbs / Aspect Markers
មិនត្រឹមត្រូវ  ,Question & Negation Words  + Adjective
ដូចគ្នា,Prepositions / Relational Words
ត្រូវបាន,Auxiliary Verbs / Aspect Markers
ខ្លួន,Pronouns
មួយចំនួន,Determiners & Quantifiers
ឥឡូវ,Numbers & Time Expressions
នៅជិតតែ,Prepositions / Relational Words
គួរឲ្យកត់សម្គាល់,Auxiliary Verbs / Aspect Markers + Verb
យើងខ្ញុំ,Pronouns
នៅតាមកន្លែង,Prepositions / Relational Words
យើងទាំងអស់,Pronouns
ច្បាស់ណាស់,Adjective + Particles & Discourse Markers
កាល,Function Nouns
ឈានដល់,Verb + Prepositions / Relational Words
ធ្វើឲ្យល្អ  ,Particles & Discourse Markers + Adjective
បន្ទាប់,Prepositions / Relational Words
ចំពោះ,Prepositions / Relational Words
ភ្លេចអស់,Verb + Particles & Discourse Markers
ច្រើន,Determiners & Quantifiers
ពេលដែលកន្លង,Numbers & Time Expressions
មិនស្អិតជាប់  ,Question & Negation Words  + Adjective
បន្ទាប់ពី,Prepositions / Relational Words
ពេលវេលាប៉ុណ្ណោះ,Noun + Particles & Discourse Markers
សំរាប់,Conjunctions
រហូតទៅដល់,Prepositions / Relational Words
ប្រហែលជា,Auxiliary Verbs / Aspect Markers
ដល់,Prepositions / Relational Words
នៅមកវិញ,Prepositions / Relational Words
ម្នាក់,Numbers & Time Expressions
ដើរទៅ,Verb + Prepositions / Relational Words
ទាំង,Determiners & Quantifiers
អាចជា,Auxiliary Verbs / Aspect Markers
គ្មាននរណា,Question & Negation Words + Pronouns
ការរៀបចំ,Function Nouns
ភាគរយ ,Function Nouns
ទៅហើយ,Particles & Discourse Markers
យ៉ាង,Particles & Discourse Markers
មិនទាក់ទង  ,Question & Negation Words + Verb
អ្វីខ្លះ,Question & Negation Words
ត្រឹមតែ  ,Prepositions / Relational Words
ភ្លេចទៅ,Verb + Prepositions / Relational Words
ហាក់បង្កើន  ,Auxiliary Verbs / Aspect Markers + Verb
យ៉ាង,Particles & Discourse Markers
មិនបានច្បាស់  ,Question & Negation Words + Adjective
ជា,Auxiliary Verbs / Aspect Markers
តើហើយ,Question & Negation Words
តើហេតុអ្វី,Question & Negation Words
ពេលណាមិញ,Numbers & Time Expressions
មិន,Question & Negation Words
ជាដរាប,Auxiliary Verbs / Aspect Markers + Adjective
ឡើង,Prepositions / Relational Words
មែន,Particles & Discourse Markers
មិនត្រូវការ  ,Question & Negation Words + Verb
បន្ថែមទៀត,Particles & Discourse Markers
នឹង,Auxiliary Verbs / Aspect Markers
មុខ,Function Nouns
ជំរាបសួរ,Politeness & Honorifics
ចេញ,Prepositions / Relational Words
សុទ្ធតែ,Determiners & Quantifiers
កាលពី,Numbers & Time Expressions
ណាស់,Particles & Discourse Markers
ប្រហែលជាមិន,Auxiliary Verbs / Aspect Markers
មិនទំនេរ  ,Question & Negation Words
មិនទាន់,Question & Negation Words + Adjective
ដូច,Prepositions / Relational Words
ការសម្រេច,Function Nouns
ការរៀបចំ,Function Nouns
ដំណោះស្រាយ,Function Nouns
ដំណាក់កាល,Function Nouns
យ៉ាងណាមិញ,Conjunctions
ទោះបីជា,Conjunctions
សរុបមក,Verb + Particles & Discourse Markers
លើក,Content word
ធ្លាប់ជាមុន  ,Phrase
ដល់ហើយ,Phrase
នៅទីនោះ,Phrase
ជើង,Content word
ប្រាប់,Content word
ភ្លេចឆ្លើយ,Phrase
ផ្តល់ការបរិបូរ,Phrase
ព្រម,Content word
គេ,Pronouns
ប្រាប់ទៅ,Phrase
ទៅជាមួយ,Phrase
ពេលដែលមាន,Phrase
ផ្លាស់ប្ដូរតាមពេលវេលា,Phrase
ផ្តល់ការពន្យល់,Phrase
ឈ្ងុយ,Content word
នៅតាម,Prepositions / Relational Words
ផ្ដោត  ,Content word
មិនបាន,Question & Negation Words
ឆ្លៀតលេង  ,Phrase
បញ្ចេញ  ,Content word
ទៅមក  ,Content word
ក៏ត្រូវ,Phrase
ប៉ុណ្ណោះ,Particles & Discourse Markers
ត្រៀមចេញ,Phrase
ទៅណាក៏ដោយ,Phrase
ដំ,Content word
នឹកចិត្ត  ,Phrase
ធ្លាក់ទាំងស្រុង  ,Phrase
បំពេញ  ,Content word
ឆ្លៀតឃើញ  ,Phrase
ផ្តល់ការទំនុកចិត្ត,Phrase
ក្រោម,Prepositions / Relational Words
ដាក់,Content word
ពោលគឺ,Conjunctions
ប្រាកដហើយ,Phrase
ទូទៅ,Content word
ផ្តល់ភាពល្អ,Phrase
ផ្តល់ការងាយស្រួលយ៉ាងណា,Phrase
មិនទាន់ដឹង  ,Phrase
មិនជាក់  ,Phrase
ដើម្បី,Conjunctions
ត្រឹម,Prepositions / Relational Words
មិន,Question & Negation Words
ទាំងបី,Phrase
ផ្តល់ទ្រទ្រង់,Phrase
ស្នើ,Content word
ឆ្លៀតចាប់ផ្តើម  ,Phrase
របស់ខ្ញុំ,Pronouns
ចេញវិញ,Content word
ឆ្លៀតសម្រាក,Phrase
ទៅ,Content word
ជាធម្មតា,Phrase
មិនទាន់អាច,Phrase
ដូចមុន,Content word
នៅកន្លែង,Phrase
ផ្តល់មុខងារចូល,Phrase
ព្រមទទួល,Phrase
នឹកឃើញ  ,Content word
ទៅវិញ,Phrase
ដើម្បីឆ្លើយ,Phrase
ឆ្លៀតចូលរួម  ,Phrase
ពុំទាន់,Phrase
ការផ្លាស់ប្តូរ,Phrase
ភាគតិច,Content word
មួយទៀត,Phrase
យក,Content word
សូមជូន  ,Content word
បើកចំហ,Content word
ព្យាបាទច្រើនណាស់,Phrase
ពេលនោះ,Content word
ផ្តល់កាតសន្តិភាព,Phrase
នេះជា,Phrase
ពេញ,Content word
កំពុង,Auxiliary Verbs / Aspect Markers
សូមពិនិត្យ  ,Phrase
ផ្តល់ឲ្យនរណាម្នាក់,Phrase
ផ្លាស់ប្ដូរពេលវេលា,Phrase
ចំណែកឯ,Conjunctions
ឆ្លៀតអ្វីដែល  ,Phrase
ឱ្យ,Content word
លើស,Content word
ចំណង  ,Content word
ទៅកាន់,Prepositions / Relational Words
ផ្តល់អានុភាព,Phrase
ហាក់ទំនេរ  ,Phrase
មិនមែន,Question & Negation Words
គឺ,Content word
ត្រូវតែ,Phrase
បាន,Auxiliary Verbs / Aspect Markers
ផ្តល់សេចក្ដីពេញចិត្ត,Phrase
ឆ្លៀតសន្ទក  ,Phrase
ភ្លេចដល់,Phrase
ផ្តល់,Content word
កាន់,Content word
ផ្តល់ការយល់ព្រម,Phrase
ផ្តល់គោលបំណង,Phrase
ផ្តល់ការងារច្រើន,Phrase
ឆ្លៀតតែងតាំង  ,Phrase
ទាំងនេះហើយ,Phrase
ឆ្លៀតយក  ,Phrase
ទៅជាយ៉ាងណា,Phrase
ប្រាំ,Content word
រួម,Content word
ផ្តល់ការរាប់បញ្ចូល,Phrase
មិនគួរមើល  ,Phrase
ប្រហែល,Content word
នេះក៏បាន,Phrase
ព្រោះតែ,Phrase
កន្លែង,Content word
ផ្តល់តួនាទី,Phrase
ពេញល្បង,Phrase
ចំនួនច្រើន,Phrase
សន្មត់,Content word
មិនបាច់ព្រួយ  ,Phrase
ឆាប់,Content word
ព្រោះតែវា,Phrase
ទូទៅប៉ុន្មាន,Phrase
មិនត្រឹមតែ,Phrase
ពោល,Content word
នឹងត្រូវ  ,Phrase
ផ្តល់ការងារចេញ,Phrase
មិនឃើញស្រួល,Phrase
មិនបាច់ឃើញ,Phrase
ប្រាំបី,Phrase
នឹងអាចធ្វើបាន,Phrase
ភ្លេចសំខាន់  ,Phrase
ឆ្លៀតសួរគ្នា  ,Phrase
ទាស់ដាច់,Phrase
នៅចំពោះមុខ,Phrase
ចន្លោះ,Content word
មិនអនុញ្ញាត  ,Phrase
ផ្លាស់ប្ដូរជាច្រើន,Phrase
ផ្ដើមជាមួយ,Phrase
ត្រង់,Content word
បើកបើក,Content word
ដូច្នេះហើយ,Phrase
ហេតុនេះ,Phrase
មិនឲ្យ  ,Phrase
មិនបាច់,Phrase
មិនព្រមទទួល,Phrase
កាលណា,Phrase
នេះក៏អាច,Phrase
ផ្តល់បញ្ជូនគ្នា,Phrase
បញ្ជូន  ,Content word
គឺជា,Content word
ពេលណា,Question & Negation Words
បើកទ្វារ,Phrase
ផ្តល់សិទ្ធិចូលរួម,Phrase
ធ្វើ  ,Content word
បញ្ជាក់,Phrase
ផ្តល់ការងាយស្រួល,Phrase
មិនបាន  ,Question & Negation Words
សោះ,Particles & Discourse Markers
ឆ្លៀតសន្ទនា  ,Phrase
មិនបានលើកឡើង,Phrase
រយៈពេល,Content word
ដឹងថា,Content word
កាលបើ,Phrase
មិនទាន់បានទេ,Phrase
ដូចតាម,Content word
មិនស្រលាញ់  ,Phrase
ហេតុនេះហើយ,Phrase
មកពី,Content word
តើ,Question & Negation Words
ផ្តល់អត្តន័យ,Phrase
កាត់,Content word
ត្រង់តែ,Phrase
ប្រសិនបើ,Phrase
មិនសូវនិយាយ  ,Phrase
ឆ្លៀតបើកបង្ហាញ  ,Phrase
ណាមួយ,Content word
បន្ទាប់មក,Phrase
ហាក់បង្ហាញ  ,Phrase
ភ្លេចស្នាម  ,Phrase
យ៉ាងណា,Question & Negation Words
សូមទោស  ,Phrase
ដែរគ្រប់,Phrase
នឹក  ,Content word
ចេញពី,Phrase
មិនអាច  ,Phrase
ឆ្លាស់គ្នា,Phrase
បន្ទាប់  ,Phrase
បើត្រូវជា,Phrase
នៅសល់,Content word
ច្បាស់,Content word
ដើរតួ  ,Phrase
ផ្តល់ចំត្រូវ,Phrase
ប្រហែលជាត្រូវ,Phrase
ម្នាក់,Content word
សំរេច,Content word
អាច,Auxiliary Verbs / Aspect Markers
ផ្គុំពាក្យ,Phrase
ដោយសារ,Conjunctions
ផ្តល់នូវសេចក្តីឆ្លើយ,Phrase
ទទេ,Content word
ប្រើប្រាស់  ,Phrase
ផ្តល់អត្ថន័យ,Phrase
ព្យាយាមតែប៉ុណ្ណោះ,Phrase
ទាំងនេះ  ,Phrase
ពេលណាមិនទាន់,Phrase
ទាល់តែ,Content word
ត្រង់នោះ,Phrase
ផ្ទុយ,Content word
ឆ្លៀតគ្នា  ,Phrase
ចាំបាច់,Content word
ផ្តល់សេចក្តីព្រាង,Phrase
ឆ្លៀតធ្វើ  ,Phrase
តាមចន្លោះ,Phrase
ព្យាបាទ,Content word
ទាន់,Prepositions / Relational Words
សព្វថ្ងៃ,Content word
គួរតែ,Auxiliary Verbs / Aspect Markers
តើនរណា,Question & Negation Words
មួយឆ្នាំ,Phrase
តាម,Prepositions / Relational Words
ភ្លេចសូម្បីតែ  ,Phrase
បន្ថែម  ,Content word
បញ្ចូល  ,Conjunctions
តម្លៃ,Conjunctions
ទំនេរ  ,Function Nouns
ភាគពេញ,Determiners & Quantifiers
ឈប់,Function Nouns
រីឯ,Conjunctions
ប្រាក់,Function Nouns
សូមជ្រាប  ,Auxiliary Verbs / Aspect Markers
មិនអស់សំណើច  ,Question & Negation Words
អ្វីដែល,Conjunctions
មិនបាច់ទាំងអស់,Determiners & Quantifiers
ស្គាល់,Conjunctions
កើត,Auxiliary Verbs / Aspect Markers
ឆ្លៀតដាក់  ,Conjunctions
ផ្តល់ការអនុវត្ត,Conjunctions
ធ្លាប់និយាយ  ,Conjunctions
ធ្វើបច្ចុប្បន្នភាព  ,Function Nouns
សូមទន្ទឹង  ,Auxiliary Verbs / Aspect Markers
ឆ្លៀតផ្តល់  ,Conjunctions
ផ្តល់សិទ្ធិចូលរួម,Conjunctions
ដោះស្រាយ  ,Function Nouns
ល្អ,Conjunctions
របស់ពួកគេ,Pronouns
មិនព្រមទេ,Particles & Discourse Markers
នេះជា,Function Nouns
ភ្លេចចង់  ,Conjunctions
ប៉ុន្មានពេលនោះ,Conjunctions
អ្នក,Pronouns
ពេលណាមិញទេ,Conjunctions
មិនបន្ថែម  ,Question & Negation Words
ដូចទៀង,Function Nouns
ត្រៀម,Function Nouns
ផ្តល់អាហារូបករណ៍,Conjunctions
ត្រលប់វិញ,Conjunctions
ទស្សនា  ,Function Nouns
សូមស្វាគមន៍  ,Pronouns
វា,Pronouns
ព្រួយ,Function Nouns
ឈានទៅ,Function Nouns
ជាថ្មី,Function Nouns
មិនបង្ហាញ  ,Question & Negation Words
មិនចង់  ,Auxiliary Verbs / Aspect Markers
ទទួលខុសត្រូវ,Conjunctions
តាមរយៈ,Prepositions / Relational Words
ផ្តល់ចំណែក,Conjunctions
ចង់,Auxiliary Verbs / Aspect Markers
ទូទៅដែរ,Function Nouns
លើកលែង,Conjunctions
ទាំង,Determiners & Quantifiers
បញ្ចូល,Conjunctions
ឆ្លៀតពេល,Conjunctions
កាន់តែច្រើន,Determiners & Quantifiers
ច្រើនជាងគេ,Determiners & Quantifiers
ផ្គត់ផ្គង់,Function Nouns
គេប៉ុណ្ណោះ,Particles & Discourse Markers
ទាំងបី  ,Determiners & Quantifiers
ហាក់បីដូចម្តេច  ,Particles & Discourse Markers
ឆ្លើយឆ្លង,Conjunctions
សម្រាប់,Function Nouns
ដំណើរ  ,Function Nouns
ឆ្លៀតបង្កើត  ,Conjunctions
មិនទទួល  ,Conjunctions
បញ្ជាក់ថា  ,Auxiliary Verbs / Aspect Markers
ប្រតិបត្តិ  ,Function Nouns
ផ្តល់ជាអ្វី,Conjunctions
ដំណើរការ  ,Function Nouns
មិនមែនទេ  ,Particles & Discourse Markers
ឆ្លៀតការបញ្ចប់  ,Conjunctions
ប្រហែល  ,Conjunctions
ចំនួន,Determiners & Quantifiers
ភ្លេចត្រូវ  ,Conjunctions
ដ៏,Particles & Discourse Markers
ពេលវេលាដែល,Conjunctions
ភ្លេចយក,Conjunctions
ហាក់បែបនោះ  ,Particles & Discourse Markers
ជាប់នឹង,Prepositions / Relational Words
ស្ទើរតែ,Function Nouns
ដឹងហើយ,Particles & Discourse Markers
មិនអាច,Auxiliary Verbs / Aspect Markers
ផ្តល់ជំនួយ,Conjunctions
ហាក់បង្កប់  ,Particles & Discourse Markers
ត្រូវជាមួយ,Determiners & Quantifiers
ទៅលើសទៀត,Conjunctions
ផ្តល់ទំព័រ,Conjunctions
ផ្តល់អំណោយ,Conjunctions
មាន,Function Nouns
ដឹងត្រូវ,Auxiliary Verbs / Aspect Markers
តើអាចយ៉ាងណា,Auxiliary Verbs / Aspect Markers
